"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","cell_type"
"36779","CD69.5",2.6741223834638e-145,1.24969903208239,0.631,0.232,6.61337206654431e-141,25,"CD69","T_NK"
"36821","CD2.4",4.34463859807636e-107,0.916914020825304,0.535,0.197,1.07447257169027e-102,25,"CD2","T_NK"
"36836","IGFBP7.3",1.56809922843945e-97,-1.40576557973848,0.5,0.204,3.87806620185361e-93,25,"IGFBP7","Fibroblasts"
"36932","KRT18.12",1.35059770858208e-55,-4.96828712887987,0.039,0.296,3.34016319309435e-51,25,"KRT18","Epithelial"
"36819","LYZ.21",9.46488426851294e-109,-5.94497614538332,0.103,0.502,2.34076052844593e-104,25,"LYZ","Myeloid"
"34878","MUC1.9",0,2.23471327671136,0.967,0.258,0,24,"MUC1","Epithelial"
"34872","KRT8.13",0,2.09467182190962,0.988,0.268,0,24,"KRT8","Epithelial"
"34889","KRT18.11",0,1.14201212652209,0.977,0.28,0,24,"KRT18","Epithelial"
"35888","PDGFA.3",1.77713164795364e-121,1.0511963760274,0.442,0.146,4.39502427855416e-117,24,"PDGFA","Fibroblasts"
"34977","TFF1.2",0,1.02495413911411,0.74,0.169,0,24,"TFF1","Epithelial"
"35333","LYZ.20",5.66675686864507e-245,0.958534153404489,0.99,0.487,1.40144564118461e-240,24,"LYZ","Myeloid"
"34894","KRT19.14",0,0.694242257661104,0.983,0.302,0,24,"KRT19","Epithelial"
"36027","IGJ.1",7.23566891860175e-101,-4.00633583855353,0.395,0.122,1.7894532802594e-96,24,"IGJ","B"
"36322","CXCR4.18",7.58896064027277e-73,-5.00654489555592,0.165,0.441,1.87682585594586e-68,24,"CXCR4","B"
"33590","RGS5",0,7.41196815151247,0.708,0.023,0,23,"RGS5","Fibroblasts"
"33537","MCAM",0,6.70225162819203,0.857,0.029,0,23,"MCAM","Fibroblasts"
"33532","ACTA2.1",0,6.47428796354164,0.928,0.087,0,23,"ACTA2","Fibroblasts"
"33538","PDGFRB.1",0,5.51221472379756,0.862,0.036,0,23,"PDGFRB","Fibroblasts"
"33552","IGFBP7.2",0,4.73301088530844,0.988,0.196,0,23,"IGFBP7","Fibroblasts"
"33609","PDGFA.2",0,3.9529957555026,0.782,0.14,0,23,"PDGFA","Fibroblasts"
"34410","CLU.3",2.63924844793874e-89,2.73246207020465,0.478,0.222,6.5271253365973e-85,23,"CLU","Epithelial"
"33747","CDH11.1",0,2.63947199706909,0.514,0.039,0,23,"CDH11","Fibroblasts"
"33555","COL3A1.1",0,2.11515121101344,0.855,0.074,0,23,"COL3A1","Fibroblasts"
"33581","DCN.1",0,1.92759831687698,0.776,0.06,0,23,"DCN","Fibroblasts"
"33573","COL1A1.1",0,1.70347798443992,0.855,0.125,0,23,"COL1A1","Fibroblasts"
"34523","CXCR4.17",1.49308380880864e-74,-3.84892645737774,0.144,0.441,3.69254556756466e-70,23,"CXCR4","B"
"34062","IGLL5.4",6.01763295098238e-211,-3.89756393196753,0.642,0.181,1.48822080510745e-206,23,"IGLL5","B"
"34480","LYZ.19",3.00924904164149e-80,-4.13361782832436,0.218,0.501,7.44217380488357e-76,23,"LYZ","Myeloid"
"34584","KRT19.13",8.10188307180118e-67,-4.78314149221664,0.036,0.318,2.00367670248715e-62,23,"KRT19","Epithelial"
"33288","FOXP3",0,7.5523428467119,0.586,0.007,0,22,"FOXP3","T_NK"
"33274","TIGIT",0,5.14849069187867,0.837,0.054,0,22,"TIGIT","T_NK"
"33286","CD27.4",0,3.09124675738778,0.707,0.118,0,22,"CD27","B"
"33277","CD2.3",0,2.64346748752703,0.92,0.189,0,22,"CD2","T_NK"
"33276","CD3D.3",0,2.5851800462081,0.921,0.181,0,22,"CD3D","T_NK"
"33283","CD3E.3",0,2.22081443799811,0.811,0.182,0,22,"CD3E","T_NK"
"33368","CD4.3",2.70299762726715e-164,1.97519138979232,0.51,0.178,6.68478343199439e-160,22,"CD4","T_NK"
"33351","CXCR4.16",1.1228201894725e-189,1.10231053045869,0.885,0.428,2.77684661058444e-185,22,"CXCR4","B"
"33398","LYZ.18",5.65801847252448e-115,-5.391327644305,0.113,0.503,1.39928454844003e-110,22,"LYZ","Myeloid"
"33480","KRT18.10",1.7355114372734e-64,-5.49316181611211,0.031,0.297,4.29209333552085e-60,22,"KRT18","Epithelial"
"33495","MUC1.8",1.56525690510654e-60,-5.92266262635396,0.023,0.275,3.87103685201898e-56,22,"MUC1","Epithelial"
"33473","KRT8.12",7.44463334360494e-66,-5.94232012270075,0.017,0.285,1.84113227220694e-61,22,"KRT8","Epithelial"
"33445","KRT19.12",1.49081585318004e-74,-6.54476026936432,0.024,0.318,3.68693668649956e-70,22,"KRT19","Epithelial"
"31779","FCGR3B.2",0,3.7009943686455,0.606,0.094,0,21,"FCGR3B","Myeloid"
"31785","CXCR4.15",0,3.19051324612045,0.849,0.428,0,21,"CXCR4","B"
"32927","KRT8.11",2.70942472285425e-60,-2.76291675173083,0.034,0.285,6.70067828209086e-56,21,"KRT8","Epithelial"
"32888","KRT18.9",1.37833655971561e-61,-2.8895580158352,0.041,0.297,3.40876414583266e-57,21,"KRT18","Epithelial"
"32844","KRT19.11",2.48486079679748e-63,-3.35331263129651,0.057,0.318,6.14530923655984e-59,21,"KRT19","Epithelial"
"30773","SPINK1.3",0,1.75642710584926,0.874,0.2,0,20,"SPINK1","Epithelial"
"30788","KRT19.10",0,1.71759990088268,0.929,0.301,0,20,"KRT19","Epithelial"
"31369","PDGFA.1",1.68937843816465e-142,1.65226035624108,0.426,0.145,4.17800181542501e-138,20,"PDGFA","Fibroblasts"
"30795","KRT8.10",0,1.46379292029871,0.882,0.268,0,20,"KRT8","Epithelial"
"31007","KRT18.8",1.88432571932676e-290,1.23020816345148,0.837,0.281,4.66012593646701e-286,20,"KRT18","Epithelial"
"30995","TFF1.1",2.08771947499088e-299,0.524438188703667,0.641,0.169,5.16313903353136e-295,20,"TFF1","Epithelial"
"31753","MUC1.7",2.48517671300543e-47,-0.501930738686766,0.544,0.265,6.14609052893374e-43,20,"MUC1","Epithelial"
"31757","LYZ.17",2.69339232273863e-25,-1.31490874477347,0.801,0.49,6.66102855336491e-21,20,"LYZ","Myeloid"
"31465","CXCR4.14",4.83294498279979e-122,-5.54389746200467,0.058,0.444,1.19523562369622e-117,20,"CXCR4","B"
"31423","HLA-DRA.13",1.0450452672064e-130,-7.63206487444169,0.061,0.462,2.58450145032815e-126,20,"HLA-DRA","Myeloid"
